WT sseJ sseL slrP ssaV_new srfJ steC sspH2 sseI steB spvD_new sseG sseF sifB pipB2 steA sifA gtgE steE spvB gogB sseK1 gtgA sopD2 pipB
291 0 0 10 30 0 0 0 0 0 13 19 0 0 0 11 41 0 0 51 0 0 1 75 11 2
301 1 0 5 53 0 0 0 0 0 11 41 0 0 0 18 57 0 0 35 0 0 1 74 16 1
311 2 0 4 27 0 0 0 0 0 6 22 0 0 0 13 41 0 0 22 0 0 0 56 7 0
321 0 0 2 25 0 0 0 0 0 4 27 0 0 0 10 37 0 0 23 0 0 0 54 4 0
331 43 0 5 28 0 0 0 0 0 6 18 0 0 0 9 47 0 0 27 0 0 0 66 6 0
341 0 0 3 29 0 0 0 0 0 10 17 0 0 0 6 33 0 0 22 0 0 0 59 5 1
351 1 0 7 25 0 0 0 0 0 12 49 0 0 0 8 37 0 0 25 0 0 0 55 3 0
361 0 0 6 11 0 0 2 0 0 3 27 0 0 0 7 29 0 0 15 0 0 1 35 7 0
371 0 1 2 33 0 0 0 0 0 8 31 0 0 0 18 54 0 0 26 0 0 1 63 14 0
381 1 0 8 30 0 0 0 0 0 11 26 0 0 0 19 49 0 0 22 0 0 1 50 5 0
391 2 1 3 29 0 0 0 0 0 12 28 0 0 0 20 52 0 0 26 0 0 0 44 6 0
401 2 0 5 30 0 0 0 0 0 8 29 0 0 0 16 27 0 0 32 0 0 0 50 9 0
411 2 0 28 36 0 0 0 0 0 17 43 0 0 0 17 48 0 0 39 0 0 0 62 13 0
421 3 0 5 35 0 0 0 0 0 8 111 0 0 0 17 43 0 0 18 0 0 1 66 11 2
431 0 0 2 21 0 0 0 0 0 5 15 0 0 0 11 19 0 0 10 0 0 0 34 7 0
441 3 0 1 16 0 0 0 0 0 6 17 0 0 0 13 27 0 0 27 0 0 1 49 8 1
451 113 0 1 17 0 0 0 0 0 9 20 0 0 0 6 24 0 0 15 0 0 0 38 6 0
461 0 0 6 30 0 0 0 0 0 10 21 0 0 0 14 25 0 0 17 0 0 1 48 10 0
471 0 0 9 21 0 0 0 0 0 8 20 0 0 0 14 24 0 0 17 0 0 0 48 4 0
481 1 0 8 34 0 0 0 0 0 10 30 0 0 0 10 33 0 0 24 0 0 1 69 9 2
491 1 0 5 25 0 0 0 0 0 12 17 0 0 0 14 46 0 0 33 0 0 0 60 6 1
501 2 0 6 21 0 0 0 0 0 6 23 0 0 0 6 31 0 0 20 0 0 0 29 7 0
511 1 0 65 35 0 0 0 0 0 17 38 0 0 0 12 30 0 0 28 0 0 0 68 8 3
521 2 0 15 62 0 0 0 0 0 16 59 0 0 0 31 93 0 0 46 0 0 0 144 17 1
531 209 0 9 58 0 0 0 0 0 15 38 0 0 0 21 69 0 0 36 0 0 0 101 15 0
541 0 0 6 14 0 0 0 0 0 6 69 0 0 0 13 24 0 0 20 0 0 0 40 3 0
551 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
561 1 267 2 24 0 0 0 0 0 10 17 0 1 0 11 30 0 0 16 0 0 0 45 3 1
571 0 0 4 26 0 0 0 0 0 6 11 0 0 0 7 27 0 0 16 0 0 0 28 4 0
581 2 0 5 45 0 0 0 0 0 15 18 0 0 0 7 37 0 0 22261 0 0 0 66 5 2
591 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
601 2 0 9 28 0 0 1 0 0 11 14 0 0 0 12 126 0 0 37 0 0 0 47 8 0
611 1 0 5 17 0 0 1 0 0 1 13 0 0 0 7 40 0 0 11 0 0 1 45015 8 0
621 1 0 6 10 0 0 0 0 0 7 15 0 0 0 4 23 0 0 15 0 0 0 36 0 2
631 0 0 3 23 0 0 0 0 0 11 17 0 0 0 7 18 0 0 20 0 0 1 34 5 1
641 0 0 2 17 0 0 0 0 0 3 10 0 0 0 8 20 0 0 17 0 0 0 30 8 0
651 929 0 9 238566 0 0 1 0 0 30422 36 0 16 0 54210 39 1 0 120543 0 0 0 148539 10 0
661 0 0 3 34 0 0 0 0 0 11 31 0 0 0 15 36 0 0 20 0 0 1 50 11 0
671 0 0 3 11 0 0 0 0 0 0 13 0 0 0 3 15 0 0 12 0 0 0 33 7 2
681 1 0 2 12 0 0 0 0 0 5 14 0 0 0 8 22 0 0 13 0 0 0 40 4 2193
691 0 0 7 18 0 0 0 0 0 10 19 0 0 0 9 21 0 0 26 0 0 1 44 9 0
701 0 0 107 18 0 0 0 0 0 23 21 0 0 0 10 31 0 0 23 0 0 0 38 4 0
711 2 0 13 25 0 0 0 0 0 16 35 0 0 0 16 39 0 0 28 0 0 1 56 12 0
721 5 0 3 19 0 0 0 0 0 9 17 0 0 0 8 17 0 0 20 0 0 0 40 7 1
731 0 0 4 14 0 0 0 0 0 1 21 0 0 0 8 38 0 0 15 0 0 591 38 7 1
741 2 0 1 13 0 0 0 0 0 7 11 0 0 0 9 20 0 0 17 0 0 0 32 7 0
751 0 0 6 44 0 0 0 0 0 9 20 0 0 0 14 20 0 0 32 1 0 0 51 3 0
761 0 0 4 25 0 0 0 0 0 5 36 28 0 0 14 55 0 0 28 0 0 1 68 3 0
771 0 0 5 14 0 0 0 0 0 8 18 0 0 0 5 30 0 0 15 0 0 0 45 10 1
781 1 0 4 24 0 0 0 0 0 6 20 0 0 0 15 44 0 0 58267 0 0 0 43 8 0
791 2 0 3 23 0 0 0 0 0 8 30 0 0 0 10 48 0 0 27 0 0 0 65 9 0
801 2 0 5 21 0 0 0 0 0 5 23 0 1 0 11 35 0 0 18 0 0 0 48 4 1
811 0 0 2 22 0 0 0 0 0 6 18 0 0 0 15 33 0 0 27 0 0 0 46 3 0
821 1 0 6 39 0 0 0 0 0 8 30 0 0 0 12 43 0 0 25 0 0 89 61 8 0
831 0 0 6 43 0 0 0 0 0 10 37654 0 0 0 20 58 0 0 27 0 0 0 65 10 1
841 0 0 5 27 0 0 0 0 0 5 25 0 0 0 14 38 0 0 22 0 0 0 42 7 0
851 0 0 4 16 0 0 0 0 0 9 7 0 0 0 4 24 0 0 13 0 0 0 21 3 0
861 2 0 4 27 0 0 0 0 0 9 23 0 1 0 11 26 0 0 21 0 0 0 39 5 0
871 0 0 1 21 0 0 0 0 0 8 29 0 0 0 6 34 0 0 11 0 0 0 37 10 1
881 0 0 3 24 0 0 0 0 0 7 7 0 0 0 3 28 0 0 10 0 0 0 23 3 0
891 2 0 0 3 0 0 0 0 0 1 8 0 0 0 3 10 0 0 9 0 0 0 12 2 1
901 1 0 3 22 0 0 0 0 0 5 19 0 47 0 9 32 0 0 14 0 0 0 36 2 0
911 0 0 27077 29 0 0 0 0 0 11 11 0 0 0 14 28 0 0 21 0 0 0 39 3 0
921 1 0 1 33 0 0 0 0 0 7 17 0 0 0 17 29 0 0 21 0 0 21 39 7 1
931 2 0 6 21 0 0 0 0 0 8 294 0 0 0 9 22 0 0 21 0 0 0 41 5 1
941 1 0 1 17 0 0 0 0 0 7 16 0 0 0 11 29 0 0 14 0 0 0 28 4 0
951 0 0 2 6 0 0 0 0 0 3 107 0 0 0 7 15 0 0 5 0 0 0 13 1 0
961 0 0 1 4 0 0 0 0 0 1 5 0 0 0 2 5 0 0 1 0 0 0 7 3 0
112 0 4 3 14 0 6 19 0 2 14 0 42 0 0 3 0 0 0 0 1 2 0 33 0 0
212 0 11 6 24 0 11 37 0 9 14 0 30 0 0 4 0 0 0 0 1 7 0 36 0 0
312 0 9 8 31 0 5 47 0 6 13 0 60 0 0 5 0 0 0 0 1 8 0 36 0 0
412 0 11 6 44 0 7 22 0 2 15 0 41 1 0 2 0 0 0 0 0 3 0 38 0 0
512 0 6 9 33 0 5 68 0 9 19 0 42 0 0 8 0 0 0 0 3 7 0 69478 0 0
612 0 7 3 21 0 2 35 0 34729 14 0 36 0 0 4 0 0 0 0 3 1 0 24 0 0
712 0 9 15 82 0 7 19 0 5 15 0 46 0 0 3 0 0 0 0 0 2 0 16 0 0
812 0 8 3 15 0 8 65 0 5 16 0 34 1 0 7 0 0 0 0 2 0 0 25 0 0
98 0 11 10 39 0 13 39 0 4 32 0 28280 1 0 3 0 0 0 1 3 4 0 50 0 0
102 0 8 4 20 0 4 41 2 5 19 0 27 0 0 2 0 0 0 0 0 3 0 27 0 0
113 0 4 8 32 0 7 53 0 4 19 0 65 0 0 9 0 0 0 0 4 7 0 27 0 0
122 0 8 1 28 0 3 34 0 14 17 0 42 0 0 2 0 0 0 0 2 3 0 22 0 0
132 0 14 19 57 0 11 68 0 9 16 0 63 0 0 4 0 0 0 0 0 3 0 127 0 0
142 0 22 10 50 0 16 93 0 3 35 0 90 0 0 9 0 0 0 0 4 21671 0 66 0 0
152 0 18 4 40 0 12 73 0 11 33 0 60 0 0 13 0 0 0 0 5 2 0 64 0 0
162 0 22 9 51 0 9 48 0 20 13 1 69 0 0 4 0 0 0 0 1 4 0 40 0 0
172 0 14 5 43 0 11 79 0 6 30 0 70 0 0 8 0 0 0 0 3 9 0 59 0 0
182 0 25 7 20411 0 10 43 0 8 21 0 65 0 0 9 0 0 0 0 1 4 0 52 0 0
192 0 20 7 44 0 274 50 0 6 28 0 98 1 0 11 0 0 0 0 2 10 0 56 0 0
202 0 11 2 28 0 8 51 0 5 20 0 55 5 0 12 2 0 0 0 2 9 0 34 0 0
213 0 3 0 21 0 6 17 0 4 18 0 47 0 0 5 0 0 0 0 1 5 0 21 0 0
222 0 16 9 42 0 5 47 1 10 11 0 341119 0 0 7 0 0 0 0 1 2 0 28 0 0
232 0 10 11 34 0 4 41 0 2 9 0 33 0 0 2 0 0 0 0 2 16 0 35 0 0
242 0 8 6 16 0 6 23 0 3 9 0 36 1 0 4 0 0 0 0 0 6 0 21 0 0
252 0 8 7 27 0 6 32 0 11 15 0 35 0 0 5 0 0 0 0 1 2 0 27 0 0
262 0 3 6 29 0 11 25 0 8 17 0 47 0 0 3 0 0 0 0 0 2 0 28 0 0
272 0 22 17 49 0 18 51 0 6 22 0 77 0 0 7 0 0 0 0 6 5 0 59 0 0
282 0 10 5 18 0 6 43 0 3 8 0 35 0 0 3 0 0 0 0 3 5 0 28 0 0
292 0 8 4 18 0 6 49 0 4 17 0 43 0 0 4 0 0 0 0 8 6 0 37 0 0
302 0 24 15 41 0 8 59 0 8 19 0 86 0 0 5 0 0 0 0 3 7 0 59 0 0
313 0 13 3 26 0 7 25 0 2 7 0 34 0 0 4 0 0 0 0 0 3 0 36 0 0
322 0 10 12 25 0 12 41 0 7 21 0 79 0 0 2 0 0 0 0 3 2 0 28 0 0
332 0 8 7 40 0 6 60 0 5 24 0 60 0 0 4 0 0 0 0 1 10 0 37 0 0
342 0 7 3 36 0 15 44 0 8 14 0 53 5 0 23418 0 0 0 0 1 3 0 35 0 0
352 0 15 5 42 0 5 69 0 6 26 0 92 0 0 2 0 39 0 0 2 5 0 18 0 0
362 0 13 7 41 2 9 417466 0 11 23 0 50 1 0 6 2 5 0 0 1 3 0 29 0 0
372 0 11 4 27 0 5 47 0 6 18 0 42 0 0 4 0 0 0 0 3 6 0 44 0 0
382 0 15 11 36 0 8 79 0 2 19 0 63 0 0 5 0 0 0 0 2 13 0 47 0 0
392 0 31517 11 27 0 10 49 0 13 28 0 69 0 0 3 0 0 0 0 1 9 0 40 0 0
402 0 10 7 28 0 10 34 0 11 17 0 49 0 0 6 0 0 0 0 3 8 0 42 0 0
413 0 12 1 43 0 10 58 0 7 27 0 107 4 0 10 0 0 0 0 2 10 0 54 0 0
422 0 13 9 49 0 14 74 0 6 36 1 91 0 0 19 0 0 0 0 5 8 0 42 0 0
432 0 4 8 26 0 2 26 0 2 31 0 37 0 0 3 0 0 0 0 1 2 0 17 0 0
442 0 8 8 30 0 6 33 0 11 16 0 66 0 0 5 0 0 0 0 2 11 0 40 0 0
452 0 6 5 30 0 6 37 0 4 15 0 32 0 0 5 0 0 0 0 1 0 0 22 0 0
462 0 20 2 43 0 5 48 0 10 23 0 55 0 0 9 0 0 0 0 4 9 0 49 0 0
472 0 11 4 26 0 8 36 0 10 23 0 165 1 0 7 0 0 0 0 2 4 0 32 0 0
